task,contrast,encounter,mean_isc,n_pairs,aligned
nBack,twoBack-oneBack,1,0.2686888027198499,10,raw
nBack,twoBack-oneBack,2,0.14909875637589384,10,raw
nBack,twoBack-oneBack,3,0.33411722081259054,10,raw
nBack,twoBack-oneBack,4,0.1722060417334827,10,raw
nBack,twoBack-oneBack,5,0.21132564852275015,10,raw
nBack,match-mismatch,1,0.2965856672145687,10,raw
nBack,match-mismatch,2,0.3171431679941285,10,raw
nBack,match-mismatch,3,0.31080942388011146,10,raw
nBack,match-mismatch,4,0.23908577561565697,10,raw
nBack,match-mismatch,5,0.1396071929232347,10,raw
nBack,task-baseline,1,0.320429166358742,10,raw
nBack,task-baseline,2,0.36480743848779484,10,raw
nBack,task-baseline,3,0.2058033069213132,10,raw
nBack,task-baseline,4,0.22411971808405023,10,raw
nBack,task-baseline,5,0.2120663790426121,10,raw
nBack,response_time,1,0.5067942969525332,10,raw
nBack,response_time,2,0.4391020584275882,10,raw
nBack,response_time,3,0.5113214900886234,10,raw
nBack,response_time,4,0.4407444950272585,10,raw
nBack,response_time,5,0.32428935052945906,10,raw
flanker,incongruent-congruent,1,-0.05086236578641336,10,raw
flanker,incongruent-congruent,2,0.028316379404303576,10,raw
flanker,incongruent-congruent,3,-0.02021425796903644,10,raw
flanker,incongruent-congruent,4,0.014185456850224007,10,raw
flanker,incongruent-congruent,5,-0.0928485807694229,10,raw
flanker,task-baseline,1,0.3507942594274369,10,raw
flanker,task-baseline,2,0.35460675852955365,10,raw
flanker,task-baseline,3,0.22589266361156451,10,raw
flanker,task-baseline,4,0.269426122612349,10,raw
flanker,task-baseline,5,0.15958313611135871,10,raw
directedForgetting,neg-con,1,0.2245701851563065,10,raw
directedForgetting,neg-con,2,-0.008053450206661355,10,raw
directedForgetting,neg-con,3,0.05202318611944654,10,raw
directedForgetting,neg-con,4,0.01251514777535003,10,raw
directedForgetting,neg-con,5,0.18650008529517986,10,raw
directedForgetting,task-baseline,1,0.24653126988356747,10,raw
directedForgetting,task-baseline,2,0.32120395915993455,10,raw
directedForgetting,task-baseline,3,0.305890969615521,10,raw
directedForgetting,task-baseline,4,0.2137218830950011,10,raw
directedForgetting,task-baseline,5,0.16847514356447452,10,raw
directedForgetting,response_time,1,0.3116639886280689,10,raw
directedForgetting,response_time,2,0.45520631385185073,10,raw
directedForgetting,response_time,3,0.27060304486769127,10,raw
directedForgetting,response_time,4,0.3082624594353972,10,raw
directedForgetting,response_time,5,0.3530992037645279,10,raw
goNogo,nogo_success-go,1,0.39860667687123674,10,raw
goNogo,nogo_success-go,2,0.25071659856985584,10,raw
goNogo,nogo_success-go,3,0.24203159188756712,10,raw
goNogo,nogo_success-go,4,0.14499816082255537,10,raw
goNogo,nogo_success-go,5,0.17179804150778932,1,raw
goNogo,nogo_success,1,0.44743358328068555,10,raw
goNogo,nogo_success,2,0.4598879521745637,10,raw
goNogo,nogo_success,3,0.16476675706336058,10,raw
goNogo,nogo_success,4,0.26233317417854557,10,raw
goNogo,nogo_success,5,0.21648551190907872,1,raw
goNogo,task-baseline,1,0.4159253345663002,10,raw
goNogo,task-baseline,2,0.4489026917933249,10,raw
goNogo,task-baseline,3,0.16644789689352302,10,raw
goNogo,task-baseline,4,0.3535493552754753,10,raw
goNogo,task-baseline,5,0.2294180358389348,1,raw
shapeMatching,DDD,1,0.34334218845342523,10,raw
shapeMatching,DDD,2,0.18914964215989297,10,raw
shapeMatching,DDD,3,0.23465432418008714,10,raw
shapeMatching,DDD,4,0.22141682672843727,10,raw
shapeMatching,DDD,5,0.11306800161713844,6,raw
shapeMatching,DDS,1,0.3327444227440881,10,raw
shapeMatching,DDS,2,0.16410475147691259,10,raw
shapeMatching,DDS,3,0.15343315745176025,10,raw
shapeMatching,DDS,4,0.08588657428264432,10,raw
shapeMatching,DDS,5,0.0734325167903586,6,raw
shapeMatching,DNN,1,0.34072662388392894,10,raw
shapeMatching,DNN,2,0.15234618388798402,10,raw
shapeMatching,DNN,3,0.26201029486690225,10,raw
shapeMatching,DNN,4,0.3120906686830052,10,raw
shapeMatching,DNN,5,0.1626838690212783,6,raw
shapeMatching,DSD,1,0.33835066456076945,10,raw
shapeMatching,DSD,2,0.17124227682539037,10,raw
shapeMatching,DSD,3,0.23052239724424356,10,raw
shapeMatching,DSD,4,0.15297110314085444,10,raw
shapeMatching,DSD,5,0.12903372747264263,6,raw
shapeMatching,main_vars,1,0.42466361729190505,10,raw
shapeMatching,main_vars,2,0.2224435817487042,10,raw
shapeMatching,main_vars,3,0.3570229383398325,10,raw
shapeMatching,main_vars,4,0.30777392418886224,10,raw
shapeMatching,main_vars,5,0.3370422251451668,6,raw
shapeMatching,SDD,1,0.2839542877149551,10,raw
shapeMatching,SDD,2,0.20190570728362173,10,raw
shapeMatching,SDD,3,0.19864162644137168,10,raw
shapeMatching,SDD,4,0.10893816036426532,10,raw
shapeMatching,SDD,5,0.1364572948007646,6,raw
shapeMatching,SNN,1,0.2977022458585951,10,raw
shapeMatching,SNN,2,0.2119585817226454,10,raw
shapeMatching,SNN,3,0.2667211980238023,10,raw
shapeMatching,SNN,4,0.19158434120328455,10,raw
shapeMatching,SNN,5,0.18281776874469627,6,raw
shapeMatching,SSS,1,0.3464823222592942,10,raw
shapeMatching,SSS,2,0.158565006149034,10,raw
shapeMatching,SSS,3,0.2531356855407078,10,raw
shapeMatching,SSS,4,0.15466376168418272,10,raw
shapeMatching,SSS,5,0.06912353309528028,6,raw
shapeMatching,task-baseline,1,0.3360061816899678,10,raw
shapeMatching,task-baseline,2,0.18264381505090918,10,raw
shapeMatching,task-baseline,3,0.2310266796258186,10,raw
shapeMatching,task-baseline,4,0.16803608957997498,10,raw
shapeMatching,task-baseline,5,0.11725520269298817,6,raw
shapeMatching,response_time,1,0.41220715724540336,10,raw
shapeMatching,response_time,2,0.1671836138460961,10,raw
shapeMatching,response_time,3,0.30154582908168737,10,raw
shapeMatching,response_time,4,0.30093792559479093,10,raw
shapeMatching,response_time,5,0.07395568356070599,6,raw
stopSignal,go,1,0.5201149798665575,10,raw
stopSignal,go,2,0.4914628433679155,10,raw
stopSignal,go,3,0.3532089979056431,10,raw
stopSignal,go,4,0.4435223048748041,10,raw
stopSignal,go,5,0.41485107925007714,10,raw
stopSignal,stop_failure-go,1,0.4448380230240364,10,raw
stopSignal,stop_failure-go,2,0.5022583303201045,10,raw
stopSignal,stop_failure-go,3,0.18107434321228558,10,raw
stopSignal,stop_failure-go,4,0.3651355827065085,10,raw
stopSignal,stop_failure-go,5,0.49625316411256576,10,raw
