  sub-s03 | nBack | twoBack-oneBack: 5 encounters
  sub-s10 | nBack | twoBack-oneBack: 5 encounters
  sub-s19 | nBack | twoBack-oneBack: 5 encounters
  sub-s29 | nBack | twoBack-oneBack: 5 encounters
  sub-s43 | nBack | twoBack-oneBack: 5 encounters
  sub-s03 | nBack | match-mismatch: 5 encounters
  sub-s10 | nBack | match-mismatch: 5 encounters
  sub-s19 | nBack | match-mismatch: 5 encounters
  sub-s29 | nBack | match-mismatch: 5 encounters
  sub-s43 | nBack | match-mismatch: 5 encounters
  sub-s03 | nBack | task-baseline: 5 encounters
  sub-s10 | nBack | task-baseline: 5 encounters
  sub-s19 | nBack | task-baseline: 5 encounters
  sub-s29 | nBack | task-baseline: 5 encounters
  sub-s43 | nBack | task-baseline: 5 encounters
  sub-s03 | nBack | response_time: 5 encounters
  sub-s10 | nBack | response_time: 5 encounters
  sub-s19 | nBack | response_time: 5 encounters
  sub-s29 | nBack | response_time: 5 encounters
  sub-s43 | nBack | response_time: 5 encounters
  sub-s03 | flanker | incongruent-congruent: 5 encounters
  sub-s10 | flanker | incongruent-congruent: 5 encounters
  sub-s19 | flanker | incongruent-congruent: 5 encounters
  sub-s29 | flanker | incongruent-congruent: 5 encounters
  sub-s43 | flanker | incongruent-congruent: 5 encounters
  sub-s03 | flanker | task-baseline: 5 encounters
  sub-s10 | flanker | task-baseline: 5 encounters
  sub-s19 | flanker | task-baseline: 5 encounters
  sub-s29 | flanker | task-baseline: 5 encounters
  sub-s43 | flanker | task-baseline: 5 encounters
  sub-s03 | directedForgetting | neg-con: 5 encounters
  sub-s10 | directedForgetting | neg-con: 5 encounters
  sub-s19 | directedForgetting | neg-con: 5 encounters
  sub-s29 | directedForgetting | neg-con: 5 encounters
  sub-s43 | directedForgetting | neg-con: 5 encounters
  sub-s03 | directedForgetting | task-baseline: 5 encounters
  sub-s10 | directedForgetting | task-baseline: 5 encounters
  sub-s19 | directedForgetting | task-baseline: 5 encounters
  sub-s29 | directedForgetting | task-baseline: 5 encounters
  sub-s43 | directedForgetting | task-baseline: 5 encounters
  sub-s03 | directedForgetting | response_time: 5 encounters
  sub-s10 | directedForgetting | response_time: 5 encounters
  sub-s19 | directedForgetting | response_time: 5 encounters
  sub-s29 | directedForgetting | response_time: 5 encounters
  sub-s43 | directedForgetting | response_time: 5 encounters
  sub-s03 | goNogo | nogo_success-go: 5 encounters
  sub-s10 | goNogo | nogo_success-go: 5 encounters
  sub-s19 | goNogo | nogo_success-go: 4 encounters
  sub-s29 | goNogo | nogo_success-go: 4 encounters
  sub-s43 | goNogo | nogo_success-go: 4 encounters
  sub-s03 | goNogo | nogo_success: 5 encounters
  sub-s10 | goNogo | nogo_success: 5 encounters
  sub-s19 | goNogo | nogo_success: 4 encounters
  sub-s29 | goNogo | nogo_success: 4 encounters
  sub-s43 | goNogo | nogo_success: 4 encounters
  sub-s03 | goNogo | task-baseline: 5 encounters
  sub-s10 | goNogo | task-baseline: 5 encounters
  sub-s19 | goNogo | task-baseline: 4 encounters
  sub-s29 | goNogo | task-baseline: 4 encounters
  sub-s43 | goNogo | task-baseline: 4 encounters
  MISSING: sub-s03 | goNogo | response_time
  MISSING: sub-s10 | goNogo | response_time
  MISSING: sub-s19 | goNogo | response_time
  MISSING: sub-s29 | goNogo | response_time
  MISSING: sub-s43 | goNogo | response_time
  sub-s03 | shapeMatching | DDD: 5 encounters
  sub-s10 | shapeMatching | DDD: 4 encounters
  sub-s19 | shapeMatching | DDD: 5 encounters
  sub-s29 | shapeMatching | DDD: 5 encounters
  sub-s43 | shapeMatching | DDD: 5 encounters
  sub-s03 | shapeMatching | DDS: 5 encounters
  sub-s10 | shapeMatching | DDS: 4 encounters
  sub-s19 | shapeMatching | DDS: 5 encounters
  sub-s29 | shapeMatching | DDS: 5 encounters
  sub-s43 | shapeMatching | DDS: 5 encounters
  sub-s03 | shapeMatching | DNN: 5 encounters
  sub-s10 | shapeMatching | DNN: 4 encounters
  sub-s19 | shapeMatching | DNN: 5 encounters
  sub-s29 | shapeMatching | DNN: 5 encounters
  sub-s43 | shapeMatching | DNN: 5 encounters
  sub-s03 | shapeMatching | DSD: 5 encounters
